No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
61803,SDSS J234145.36+010729.6,23h41m45.3661s,+01d07m29.649s,355.4390254967,1.1249026303,G,,,,55.5592793221171,1,0,15,1,0,4,0,0,0,0
61804,SDSS J234401.96-003525.7,23h44m01.9666s,-00d35m25.786s,356.0081941888,-0.5904962837,G,,,,55.5593444163614,0,0,19,2,0,4,0,0,0,0
61805,WISEA J234348.44-003540.0,23h43m48.4483s,-00d35m40.053s,355.9518679,-0.5944592,IrS,,,,55.5606128149112,0,0,12,1,0,0,0,0,0,0
61806,WISEA J234340.91+011524.6,23h43m40.9102s,+01d15m24.634s,355.9204594,1.2568429,*,,,,55.5613998659158,0,0,22,3,0,4,0,0,0,0
61807,GALEXMSC J234105.93-002016.0,23h41m05.9351s,-00d20m16.020s,355.274729933725,-0.337783524899399,UvS,,,,55.5615043312964,0,0,4,1,0,0,0,0,0,0
61808,SDSS J234630.95-001533.8,23h46m30.9514s,-00d15m33.872s,356.6289645406,-0.2594088994,G,,,,55.5618360322817,0,0,15,1,0,4,0,0,0,0
61809,WISEA J234521.22-002934.5,23h45m21.2273s,-00d29m34.558s,356.3384472,-0.492933,IrS,,,,55.5621664501207,0,0,12,1,0,0,0,0,0,0
61810,WISEA J234538.02+010651.4,23h45m38.1241s,+01d06m52.142s,356.4088504517,1.1144841,*,,,,55.5621902344042,0,0,17,2,0,4,0,0,0,0
61811,SDSS J234656.60-000555.1,23h46m56.6031s,-00d05m55.141s,356.7358462572,-0.0986503298,G,,,,55.5625943240799,0,0,15,1,0,3,0,0,0,0
61812,WISEA J233958.55+001417.8,23h39m58.5568s,+00d14m17.816s,354.9939867,0.2382824,IrS,,,,55.5632557470395,0,0,12,1,0,0,0,0,0,0
61813,WISEA J234003.08+003217.5,23h40m03.0815s,+00d32m17.538s,355.0128398,0.5382051,IrS,,,,55.5639885432557,0,0,12,1,0,0,0,0,0,0
61814,WISEA J234035.89+005105.6,23h40m35.8924s,+00d51m05.606s,355.149552,0.8515574,IrS,,,,55.565143488571,0,0,12,1,0,0,0,0,0,0
61815,WISEA J234641.30+005153.6,23h46m41.3011s,+00d51m53.380s,356.6720881726,0.8648278709,G,,,,55.5651995519055,0,0,27,2,0,4,0,0,0,0
61816,WISEA J234114.90-002218.9,23h41m14.9393s,-00d22m18.897s,355.3122473418,-0.3719160369,G,,,,55.5661050549659,0,0,27,2,0,3,0,0,0,0
61817,SDSS J234152.95+010835.4,23h41m52.9570s,+01d08m35.464s,355.4706542058,1.1431844958,G,,,,55.5669803935573,0,0,15,1,0,4,0,0,0,0
61818,WISEA J234718.38+002947.6,23h47m18.3857s,+00d29m47.687s,356.8266071,0.4965798,G,,,,55.5671676799239,0,0,27,2,0,4,0,0,0,0
61819,SDSS J234652.32-000752.4,23h46m52.3291s,-00d07m52.437s,356.7180383113,-0.1312326836,G,,,,55.5673246285472,0,0,15,1,0,4,0,0,0,0
61820,WISEA J234001.86+003053.9,23h40m01.8619s,+00d30m53.938s,355.0077579,0.5149829,IrS,,,,55.5675386347017,0,0,12,1,0,0,0,0,0,0
61821,WISEA J234559.11-002326.2,23h45m59.0909s,-00d23m25.972s,356.4962121797,-0.3905480126,*,,,,55.5676016238342,0,0,17,2,0,4,0,0,0,0
61822,WISEA J234249.92-003418.4,23h42m49.9251s,-00d34m18.440s,355.7080215,-0.5717891,IrS,,,,55.5685067737521,0,0,12,1,0,0,0,0,0,0
61823,SDSS J234721.97+002010.4,23h47m21.9740s,+00d20m10.424s,356.841558491,0.3362289893,G,,,,55.5685509716538,0,0,15,1,0,4,0,0,0,0
61824,SDSS J234232.41+011248.6,23h42m32.4239s,+01d12m48.762s,355.6350999,1.213545,G,616551.550243527,2.0565946,SLS,55.5685922576133,7,0,15,3,2,4,0,0,0,0
61825,WISEA J234034.52-001053.1,23h40m34.5208s,-00d10m53.166s,355.143837,-0.181435,IrS,,,,55.5688109646159,0,0,12,1,0,0,0,0,0,0
61826,SDSS J234511.07+011030.4,23h45m11.0783s,+01d10m30.483s,356.2961598338,1.1751342197,*,,,,55.5699208094353,0,0,5,1,0,4,0,0,0,0
61827,SDSS J234631.14+005513.2,23h46m31.1488s,+00d55m13.250s,356.6297867522,0.9203472944,G,,,,55.5700740550732,0,0,23,3,0,4,0,0,0,0
61828,WISEA J234320.46+011512.7,23h43m20.4686s,+01d15m12.751s,355.8352859,1.2535421,G,,,,55.5708519531227,0,0,27,2,0,4,0,0,0,0
61829,WISEA J234219.11-003157.7,23h42m19.1467s,-00d31m56.662s,355.5797779481,-0.5324061228,G,44968.8687,0.15,PUN,55.5715557113064,1,0,35,5,1,4,0,0,0,0
61830,WISEA J234353.53+011519.4,23h43m53.5353s,+01d15m18.830s,355.9730639415,1.2552307508,G,,,,55.571571909672,0,0,27,2,0,4,0,0,0,0
61831,SDSS J234519.96+010926.9,23h45m19.9658s,+01d09m26.925s,356.3331911575,1.1574791705,*,,,,55.5720184066164,0,0,5,1,0,4,0,0,0,0
61832,SDSS J234155.41-002913.6,23h41m55.4129s,-00d29m13.608s,355.4808872662,-0.4871134312,G,,,,55.5720672958222,0,0,15,1,0,3,0,0,0,0
61833,SDSS J234701.21-000336.3,23h47m01.2189s,-00d03m36.347s,356.7550788958,-0.0600964023,G,,,,55.5722170144651,0,0,15,1,0,4,0,0,0,0
61834,WISEA J234640.84+005202.2,23h46m40.8997s,+00d52m02.663s,356.6704154164,0.8674065349,G,,,,55.5727133187892,0,0,35,4,0,4,0,0,0,0
61835,SDSS J234245.17+011343.5,23h42m45.1750s,+01d13m43.560s,355.6882293239,1.2287669042,G,,,,55.5733437482993,0,0,19,2,0,4,0,0,0,0
61836,SDSS J234248.27+011354.9,23h42m48.2738s,+01d13m54.997s,355.7011410739,1.2319436865,G,,,,55.5738704144613,0,0,15,1,0,4,0,0,0,0
61837,WISEA J234448.59+011241.3,23h44m48.5505s,+01d12m41.516s,356.2022937594,1.2115322259,G,,,,55.5741531852227,0,0,27,2,0,3,0,0,0,0
61838,WISEA J233959.85+002805.3,23h39m59.8542s,+00d28m05.353s,354.9993925,0.4681538,IrS,,,,55.5742134256899,0,0,12,1,0,0,0,0,0,0
61839,WISEA J234631.08-001532.6,23h46m31.0858s,-00d15m32.605s,356.6295242,-0.2590572,UvS,,,,55.5742730713697,0,0,16,2,0,0,0,0,0,0
61840,WISEA J234721.11+001505.7,23h47m21.1891s,+00d15m06.003s,356.8382879842,0.2516676571,*,,,,55.5749576496642,0,0,17,2,0,4,0,0,0,0
61841,SDSS J234324.00+011517.2,23h43m24.0042s,+01d15m17.236s,355.8500176439,1.2547878332,G,,,,55.5759376549048,0,0,15,1,0,4,0,0,0,0
61842,SDSS J234702.74-000246.6,23h47m02.7454s,-00d02m46.685s,356.761439219,-0.0463016062,*,,,,55.5762943930373,0,0,5,1,0,4,0,0,0,0
61843,SDSS J234301.45+011436.0,23h43m01.4567s,+01d14m36.004s,355.7560695781,1.2433344732,G,,,,55.5784098566888,0,0,19,2,0,4,0,0,0,0
61844,GALEXMSC J234009.37+000150.5,23h40m09.3774s,+00d01m50.506s,355.039072866797,0.0306961304706821,UvS,,,,55.5785997103853,0,0,4,1,0,0,0,0,0,0
61845,WISEA J234005.32+003434.7,23h40m05.3262s,+00d34m34.745s,355.0221927,0.5763182,IrS,,,,55.5788999808666,0,0,12,1,0,0,0,0,0,0
61846,WISEA J233957.51+002145.7,23h39m57.5106s,+00d21m45.712s,354.9896275,0.3626978,IrS,,,,55.5791849094787,0,0,12,1,0,0,0,0,0,0
61847,SDSS J234721.86+001747.4,23h47m21.8689s,+00d17m47.472s,356.8411205724,0.2965200845,G,,,,55.5795853856395,0,0,15,1,0,4,0,0,0,0
61848,WISEA J234720.24+002652.4,23h47m20.2455s,+00d26m51.956s,356.8343563143,0.4477655734,G,142446.3864187,0.47515,SLS,55.5797323330076,2,0,35,4,1,4,0,0,0,1
61849,WISEA J234102.88+005913.5,23h41m02.8724s,+00d59m14.844s,355.2619683672,0.9874569079,G,,,,55.5797973423909,0,0,27,2,0,4,0,0,0,0
61850,SDSS J234518.07-002959.5,23h45m18.0772s,-00d29m59.554s,356.3253220076,-0.4998762024,G,,,,55.5801444075375,0,0,15,1,0,4,0,0,0,0
61851,GALEXASC J234311.89-003517.6,23h43m11.8968s,-00d35m17.680s,355.799570199754,-0.588244490558419,UvS,,,,55.5809856385839,0,0,4,1,0,0,0,0,0,0
61852,WISEA J234108.23+010031.3,23h41m08.2066s,+01d00m31.979s,355.2841943619,1.0088830469,G,,,,55.5812844353266,0,0,31,3,0,4,0,0,0,0
61853,WISEA J234721.92+001825.7,23h47m21.9556s,+00d18m25.443s,356.8414816706,0.3070675939,G,,,,55.5813732134223,0,0,27,2,0,3,0,0,0,0
61854,WISEA J234246.71-003407.8,23h42m46.7143s,-00d34m07.840s,355.6946431,-0.5688447,IrS,,,,55.5821542860491,0,0,12,1,0,0,0,0,0,0
61855,SDSS J234719.84+001203.9,23h47m19.8414s,+00d12m03.960s,356.8326726992,0.201100018,G,,,,55.5825468473639,0,0,15,1,0,4,0,0,0,0
61856,WISEA J234232.55+011249.9,23h42m32.6515s,+01d12m50.759s,355.636047999,1.214099969,G,,,,55.5831514480961,0,0,31,3,0,4,0,0,0,0
61857,SDSS J234229.91+011237.4,23h42m29.9141s,+01d12m37.483s,355.6246423856,1.210411984,*,,,,55.5831593532905,0,0,5,1,0,4,0,0,0,0
61858,SDSS J234018.64-000352.9,23h40m18.6495s,-00d03m52.951s,355.0777063203,-0.0647087345,G,,,,55.5835944442074,0,0,15,1,0,4,0,0,0,0
61859,WISEA J234621.64-001814.0,23h46m21.6469s,-00d18m14.044s,356.5901954,-0.3039011,IrS,,,,55.5837848215612,0,0,12,1,0,0,0,0,0,0
61860,SDSS J234247.28+011352.0,23h42m47.2892s,+01d13m52.069s,355.6970384358,1.2311304077,G,,,,55.5838977088906,0,0,19,2,0,4,0,0,0,0
61861,WISEA J234457.38+011156.9,23h44m57.3909s,+01d11m55.947s,356.2391289848,1.198874413,*,,,,55.5855489617116,0,0,17,2,0,4,0,0,0,0
