No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
44595,WISEA J234200.05+005952.7,23h42m00.0501s,+00d59m52.791s,355.500209,0.9979977,G,109786.99604418,0.36621,SUN,47.1479568377874,12,0,31,8,8,4,0,0,0,1
44647,WISEA J234049.15-000020.7,23h40m49.1593s,-00d00m20.941s,355.2048305731,-0.0058169929,G,231220.92908166,0.77127,SLS,47.1777230382923,2,0,27,2,1,3,0,0,0,1
44666,WISEA J234137.70-001609.1,23h41m37.7057s,-00d16m09.177s,355.4071073,-0.269216,G,40323.7374574436,0.13450551,SLS,47.1843873509203,11,0,55,7,6,8,0,0,0,1
44715,SDSS J234033.28+002723.0,23h40m33.2830s,+00d27m23.040s,355.1386793128,0.4564001282,G,145594.2072277,0.48565,SLS,47.2081859567261,2,0,19,2,1,4,0,0,0,1
44842,WISEA J234137.12+005550.6,23h41m37.1225s,+00d55m50.687s,355.4046771,0.9307465,*,0.379353838802196,1.2653882e-06,SLS,47.2713434220056,0,0,23,4,1,4,0,0,0,1
44880,WISEA J234031.48+001502.9,23h40m31.4824s,+00d15m02.946s,355.1311769,0.2508185,G,28155.8643007451,0.093917854,SLS,47.2980549917649,1,0,36,6,1,4,0,0,0,1
44926,WISEA J234212.86+010153.9,23h42m12.8635s,+01d01m53.947s,355.5535982,1.031652,QSO,488346.624666642,1.628949,SLS,47.3216776483301,24,0,21,9,13,4,0,0,0,1
45006,WISEA J234603.56-001058.3,23h46m03.5661s,-00d10m58.374s,356.5148589,-0.1828818,G,78367.9519957663,0.26140735,SLS,47.3670001237565,5,0,34,5,2,4,0,0,0,1
45068,SDSS J234125.20-001333.5,23h41m25.2008s,-00d13m33.528s,355.3550035889,-0.2259800763,G,194970.0250603,0.65035,SLS,47.4000449766441,2,0,19,2,1,4,0,0,0,1
45076,GALEXMSC J234058.82-000512.7,23h40m58.7021s,-00d05m11.378s,355.24459208333,-0.08649388889,G,190146.36441108,0.63426,SLS,47.40241168343,2,0,4,2,1,0,0,0,0,1
45143,WISEA J234648.51+002432.5,23h46m48.5113s,+00d24m32.899s,356.7021307893,0.4091388643,G,228831.5831914,0.7633,SLS,47.4351161077278,2,0,33,4,1,4,0,0,0,1
45191,SDSS J234431.28+010531.4,23h44m31.2864s,+01d05m31.478s,356.13036,1.0920774,G,131678.374957915,0.43923178,SLS,47.4601663885623,4,0,15,2,1,4,0,0,0,1
45210,WISEA J234624.02+004338.1,23h46m24.0278s,+00d43m38.124s,356.6001162,0.7272568,G,54701.8047285956,0.18246558,SLS,47.4691874017575,1,0,42,7,1,4,0,0,0,1
45224,WISEA J234548.45+005444.8,23h45m48.4573s,+00d54m44.885s,356.4519056,0.9124682,G,67002.3552346764,0.2234958,SLS,47.4752519959316,2,0,43,5,1,6,0,0,1,1
45274,WISEA J234205.43-002123.7,23h42m05.4360s,-00d21m23.787s,355.5226501,-0.3566077,G,20633.0570318473,0.06882447,SLS,47.5038928415858,8,0,58,8,6,8,0,0,0,1
