No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
2712,DEEP2 33048882,23h34m17.2920s,+00d20m47.191s,353.57205,0.34644194444,G,225464.91388806,0.75207,UUN,50.998369964596,4,0,0,2,3,0,0,0,0,1
2713,SDSS J233837.71+010534.6,23h38m37.7134s,+01d05m34.680s,354.6571391753,1.0929667377,G,186120.15170014,0.62083,SLS,51.0165045883722,2,0,22,3,1,3,0,0,0,1
2714,DEEP2 33023315,23h34m20.4720s,+00d06m36.741s,353.5853,0.11020583333,G,390188.87786074,1.30153,UUN?,51.0188541884058,5,0,0,2,1,0,0,0,0,1
2716,WISEA J234059.58+002759.5,23h40m59.5861s,+00d27m59.550s,355.2482754,0.4665419,G,146918.891168091,0.49006867,SLS,51.033323044704,4,0,27,3,1,4,0,0,0,1
2717,DEEP2 33042858,23h34m16.4784s,+00d17m54.898s,353.56866,0.29858277778,G,275180.702064089,0.917904019,UUN?,51.0466923178914,5,0,0,2,1,0,0,0,0,1
2718,SDSS J234052.71-000044.1,23h40m52.7208s,-00d00m44.140s,355.21967,-0.012261194,QSO,554883.162380078,1.850891,SLS,51.0627930633168,24,0,13,8,12,4,0,1,0,1
2719,WISEA J234016.39-001626.7,23h40m16.3658s,-00d16m25.906s,355.068191,-0.273863,G,27529.042040766,0.091827,SLS,51.0639250139457,8,0,55,6,5,8,0,0,0,1
2720,SDSS J233928.14-002648.9,23h39m28.1486s,-00d26m48.953s,354.8672858707,-0.4469315238,G,210064.5753206,0.7007,SLS,51.0670891195446,2,0,15,1,1,4,0,0,0,1
2721,SDSS J233810.60+010707.5,23h38m10.6026s,+01d07m07.504s,354.544177586,1.1187512424,G,87206.62810762,0.29089,SLS,51.0787009851794,2,0,15,1,1,4,0,0,0,1
2722,2MASS J23405948+0004521,23h40m59.4868s,+00d04m52.168s,355.247862,0.081158,*,55453.5762879748,0.18497322,SLS,51.0864799208853,2,0,11,3,1,4,0,0,0,1
2723,WISEA J233839.07+010533.3,23h38m39.0241s,+01d05m33.348s,354.6626006562,1.0925967414,G,187100.4730378,0.6241,SLS,51.0878971413809,2,0,31,3,1,4,0,0,0,1
2724,WISEA J233944.28+005718.8,23h39m44.2432s,+00d57m17.382s,354.9343469874,0.9548283547,G,82952.5731286,0.2767,SLS,51.0980359813005,2,0,27,2,1,4,0,0,0,1
2725,WISEA J233654.89+010624.3,23h36m54.8924s,+01d06m24.340s,354.2287187,1.1067611,G,25591.8203514348,0.085365124,SLS,51.0994765565734,1,0,32,5,1,4,0,0,0,1
2727,DEEP2 33036477,23h34m16.4064s,+00d14m02.522s,353.56836,0.23403388889,G,330023.52946472,1.10084,UUN,51.1119364425237,5,0,0,2,3,0,0,0,0,1
2728,WISEA J233724.24+010732.6,23h37m24.2040s,+01d07m32.860s,354.35085,1.1257946,G,84013.7305046351,0.28023964,SLS,51.1122748260607,1,0,35,5,1,4,0,0,0,1
2729,WISEA J233415.93+001627.7,23h34m16.0704s,+00d16m27.652s,353.56696,0.27434777778,G,234575.902881628,0.782460988,SLS,51.1319941469794,4,0,12,3,3,0,0,0,0,1
2730,4C -00.83,23h40m59.7569s,+00d04m53.013s,355.2489872,0.0813926,G,55405.0548786475,0.18481137,SLS,51.1489635985583,57,0,69,22,22,6,0,0,1,1
2733,GALEXMSC J234043.32-000619.8,23h40m43.5370s,-00d06m20.768s,355.18140416667,-0.10576888889,G,146289.72573026,0.48797,SLS,51.1677105629804,2,0,4,2,1,0,0,0,0,1
2734,WISEA J233428.57+003418.9,23h34m28.5735s,+00d34m18.994s,353.6190566,0.5719429,G,19588.7360002534,0.06534099,SLS,51.1701001395298,29,0,90,14,11,10,1,0,1,1
2735,WISEA J233934.07-002559.2,23h39m34.0769s,-00d25m59.262s,354.8919874,-0.4331285,G,175168.913084875,0.5843006,SLS,51.1714322488138,4,0,12,3,2,0,0,0,0,1
2738,DEEP2 33023348,23h34m19.1448s,+00d07m28.819s,353.57977,0.12467194444,G,355367.977868191,1.18537998,SLS,51.1824967060555,4,0,0,2,3,0,0,0,0,1
2739,DEEP2 33023384,23h34m18.6768s,+00d08m07.155s,353.57782,0.13532083333,*,1038.18130004155,0.00346300006,UUN?,51.187885797741,5,0,0,2,1,0,0,0,0,1
2741,WISEA J233502.12+004903.0,23h35m02.1297s,+00d49m03.037s,353.7588739,0.8175103,QSO,76252.0438085235,0.25434944,SLS,51.2097556549779,8,0,55,7,5,8,0,0,0,1
2742,DEEP2 33036258,23h34m15.9384s,+00d14m19.525s,353.56641,0.23875694444,G,404857.72283068,1.35046,SLS,51.2154119132516,4,0,0,2,3,0,0,0,0,1
2743,DEEP2 33030051,23h34m16.2240s,+00d12m57.301s,353.5676,0.21591694444,G,247978.727898944,0.827168,SLS,51.22337207488,5,0,0,2,3,0,0,0,0,1
2744,DEEP2 33029818,23h34m16.2168s,+00d12m53.654s,353.56757,0.21490388889,G,224223.77311194,0.74793,UUN,51.2295303317727,4,0,0,2,3,0,0,0,0,1
2745,2MASS J23410002+0004484,23h41m00.0218s,+00d04m48.414s,355.250091,0.080115,G,55765.4773633534,0.18601361,SLS,51.2310254090569,4,0,21,3,1,4,0,0,0,1
2747,SDSS J233416.15+001248.2,23h34m16.1568s,+00d12m48.888s,353.56732,0.21358,QSO,599441.01562016,1.99952,UUN,51.2502988147502,10,0,22,7,6,4,0,0,0,1
2748,DEEP2 33023151,23h34m18.1560s,+00d08m29.068s,353.57565,0.14140777778,G,106542.342870831,0.355387002,UUN?,51.2571898525114,5,0,0,2,1,0,0,0,0,1
2749,DEEP2 33036485,23h34m15.8928s,+00d13m37.077s,353.56622,0.22696583333,G,198276.73587204,0.66138,UUN,51.2631087187488,4,0,0,2,3,0,0,0,0,1
2751,WISEA J234047.35-000436.5,23h40m47.4013s,-00d04m36.149s,355.1975056797,-0.0767082165,G,213323.31933906,0.71157,SLS,51.2879552710466,2,0,31,3,1,4,0,0,0,1
2752,SDSS J233416.04+001240.6,23h34m16.0459s,+00d12m40.612s,353.5668582267,0.2112811653,G,232966.028774282,0.777091026,SLS,51.2882995920684,5,0,19,3,3,4,0,0,0,1
2753,DEEP2 33023488,23h34m19.0200s,+00d07m02.589s,353.57925,0.11738583333,G,324729.19465644,1.08318,UUN,51.2928585223057,4,0,0,2,3,0,0,0,0,1
2754,WISEA J233601.09+010127.4,23h36m01.0901s,+01d01m27.449s,354.0045422,1.0242914,G,88787.9673692292,0.29616478,SLS,51.2932114434264,0,0,36,6,1,4,0,0,0,1
2755,WISEA J233415.35+001628.2,23h34m15.3816s,+00d16m29.668s,353.56409,0.27490777778,G,304861.936473082,1.01690996,UUN?,51.3041101977105,4,0,12,3,1,0,0,0,0,1
2756,DEEP2 33030142,23h34m16.5384s,+00d11m06.234s,353.56891,0.185065,G,366151.5185783,1.22135,UUN,51.3101835315031,4,0,0,2,3,0,0,0,0,1
2757,WISEA J233916.12+010201.6,23h39m16.1243s,+01d02m01.626s,354.8171849,1.0337852,G,175423.5567987,0.58515,SLS,51.3210139033417,2,0,27,2,1,4,0,0,0,1
2758,DEEP2 33023715,23h34m17.3592s,+00d09m21.142s,353.57233,0.15587277778,G,391367.06222068,1.30546,SLS,51.324131420623,5,0,0,2,3,0,0,0,0,1
2759,GALEXMSC J233415.26+001644.2,23h34m15.2856s,+00d16m44.281s,353.56369,0.27896694444,G,241237.894480814,0.804683,SLS,51.3281781496918,5,0,4,3,3,0,0,0,0,1
2760,WISEA J233527.09-002223.8,23h35m27.0942s,-00d22m23.882s,353.8628927,-0.3733008,G,103265.799574555,0.34445763,SLS,51.3305109324504,4,0,33,7,5,4,0,0,0,1
2761,WISEA J234010.85-001823.0,23h40m10.8696s,-00d18m22.935s,355.04529,-0.306371,G,22545.292218974,0.075203,SLS,51.3327973322962,2,0,32,6,2,4,0,0,0,1
2762,DEEP2 33036042,23h34m15.2568s,+00d16m47.355s,353.56357,0.27982083333,G,273335.7735815,0.91175,UUN,51.3355394875555,4,0,0,2,3,0,0,0,0,1
2764,SDSS J233952.16+005602.1,23h39m52.1669s,+00d56m02.103s,354.96736219,0.9339176927,G,137877.54935878,0.45991,SLS,51.3503431013322,2,0,19,2,1,4,0,0,0,1
2765,DEEP2 33029664,23h34m16.5168s,+00d10m46.974s,353.56882,0.179715,G,50670.92125116,0.16902,UUN,51.3509334351651,4,0,0,2,3,0,0,0,0,1
2768,DEEP2 33042860,23h34m15.1968s,+00d17m49.221s,353.56332,0.29700583333,G,91227.7413488494,0.30430299,UUN?,51.364651157291,4,0,0,2,1,0,0,0,0,1
2769,SDSS J234056.64+000113.5,23h40m56.6455s,+00d01m13.504s,355.236023291,0.020417792,G,80737.10686398,0.26931,SLS,51.3661938527715,2,0,23,3,1,4,0,0,0,1
